study,run,variant,seed,budget,depth,architecture,iterations,validation_hard_accuracy,validation_selection_step,test_hard_accuracy,inference_milliseconds_per_batch,training_wall_seconds,peak_gpu_memory_bytes,dense_gate_count,training_implementation_sha256
depth,depth_cifar10_budget512k_depth8_semantic_balanced_v3_seed0,v3,0,512k,8,DlgnCifar10Budget512kDepth8,20000,0.5207999879121781,20000,,,460.58176467427984,1103505920,512000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget512k_depth8_random_v3_seed1,random,1,512k,8,DlgnCifar10Budget512kDepth8,20000,0.48799998879432677,18000,,,466.7870828518644,1103505920,512000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget512k_depth8_semantic_balanced_v3_seed1,v3,1,512k,8,DlgnCifar10Budget512kDepth8,20000,0.5199999868869781,20000,,,467.22683156933635,1103505920,512000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget512k_depth8_random_v3_seed2,random,2,512k,8,DlgnCifar10Budget512kDepth8,20000,0.48619998872280124,20000,,,461.0605632979423,1103505920,512000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget512k_depth8_semantic_balanced_v3_seed2,v3,2,512k,8,DlgnCifar10Budget512kDepth8,20000,0.5193999874591827,20000,,,460.66633968707174,1103505920,512000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget512k_depth12_random_v3_seed0,random,0,512k,12,DlgnCifar10Budget512kDepth12,20000,0.11379999682307243,20000,,,498.81625339528546,1068915200,512000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget512k_depth12_semantic_balanced_v3_seed0,v3,0,512k,12,DlgnCifar10Budget512kDepth12,20000,0.12339999675750732,12000,,,500.4625766016543,1068915200,512000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget512k_depth12_random_v3_seed1,random,1,512k,12,DlgnCifar10Budget512kDepth12,20000,0.1221999965980649,10000,,,498.86896500131115,1068915200,512000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget512k_depth12_semantic_balanced_v3_seed1,v3,1,512k,12,DlgnCifar10Budget512kDepth12,20000,0.1061999974399805,6000,,,498.8859119741246,1068915200,512000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget512k_depth12_random_v3_seed2,random,2,512k,12,DlgnCifar10Budget512kDepth12,20000,0.11819999687373638,16000,,,499.19338707393035,1068915200,512000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget512k_depth12_semantic_balanced_v3_seed2,v3,2,512k,12,DlgnCifar10Budget512kDepth12,20000,0.10819999694824219,20000,,,500.0680805966258,1068915200,512000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
conv_pilot,pilot_conv_cifar10_small_random_seed0,random,0,,,ClgnCifar10Small,20000,0.543,18000,0.5479,6.870491943359375,1019.1281526978128,1965652480,71680,0d165df4e4cfe24d88f65debc2235a5bc4228b14f60861483fe5bd401970ac78
conv_pilot,pilot_conv_cifar10_small_semantic_channel_v4_seed0,v4,0,,,ClgnCifar10Small,20000,0.5686,20000,0.5685,6.876361694335937,1019.5254295119084,1965679616,71680,0d165df4e4cfe24d88f65debc2235a5bc4228b14f60861483fe5bd401970ac78
conv_pilot,pilot_conv_cifar10_small_random_seed1,random,1,,,ClgnCifar10Small,20000,0.5582,20000,0.5603,6.858941650390625,1026.083577835001,1965652480,71680,0d165df4e4cfe24d88f65debc2235a5bc4228b14f60861483fe5bd401970ac78
conv_pilot,pilot_conv_cifar10_small_semantic_channel_v4_seed1,v4,1,,,ClgnCifar10Small,20000,0.578,20000,0.5878,6.861200561523438,1027.3025290290825,1965679616,71680,0d165df4e4cfe24d88f65debc2235a5bc4228b14f60861483fe5bd401970ac78
conv_pilot,pilot_conv_cifar10_small_random_seed2,random,2,,,ClgnCifar10Small,20000,0.5542,18000,0.5544,6.873316650390625,1020.219721450936,1965652480,71680,0d165df4e4cfe24d88f65debc2235a5bc4228b14f60861483fe5bd401970ac78
conv_pilot,pilot_conv_cifar10_small_semantic_channel_v4_seed2,v4,2,,,ClgnCifar10Small,20000,0.5618,20000,0.5663,6.869536743164063,1027.1714168149047,1965679616,71680,0d165df4e4cfe24d88f65debc2235a5bc4228b14f60861483fe5bd401970ac78
