step,v4_hard_validation,random_hard_validation,hard_delta_pp,v4_relaxed_validation,random_relaxed_validation,relaxed_delta_pp,v4_train_loss,random_train_loss
38000,0.695,0.6908,0.41999999999999815,0.7202,0.719,0.11999999999999789,0.19341192245483396,0.20345205307006836
40000,0.703,0.687,1.5999999999999903,0.7202,0.713,0.7199999999999984,0.1912544059753418,0.20173202514648436
42000,0.6968,0.693,0.38000000000000256,0.7174,0.7116,0.5800000000000027,0.18939306259155272,0.19908823013305665
44000,0.696,0.6784,1.759999999999995,0.7132,0.7128,0.039999999999995595,0.18841432571411132,0.19822742462158202
46000,0.7004,0.689,1.1400000000000077,0.7182,0.7106,0.759999999999994,0.18689958572387697,0.19674129486083985
48000,0.6992,0.6902,0.9000000000000008,0.72,0.7136,0.6399999999999961,0.18497434616088868,0.19503129959106444
50000,0.7014,0.6986,0.28000000000000247,0.7212,0.715,0.6199999999999983,0.1838294219970703,0.19382207870483398
52000,0.7012,0.6882,1.3000000000000012,0.718,0.7134,0.45999999999999375,0.18236009597778322,0.19278532028198242
54000,0.7024,0.6904,1.200000000000001,0.7224,0.7198,0.26000000000000467,0.18128952026367187,0.19113157272338868
56000,0.704,0.6922,1.1799999999999922,0.7174,0.7148,0.26000000000000467,0.18065502166748046,0.19034978866577149
58000,0.7078,0.6946,1.319999999999999,0.719,0.7162,0.28000000000000247,0.17946802139282225,0.18946800231933594
60000,0.7038,0.6906,1.319999999999999,0.7228,0.7194,0.33999999999999586,0.17854122161865232,0.18809429168701175
62000,0.6986,0.6954,0.31999999999999806,0.7206,0.718,0.26000000000000467,0.1779148483276367,0.18733848571777345
64000,0.7088,0.6944,1.4399999999999968,0.722,0.717,0.5000000000000004,0.17703393936157225,0.18685361862182617
66000,0.7016,0.7008,0.08000000000000229,0.7238,0.7158,0.8000000000000007,0.17568485260009764,0.18575796127319333
68000,0.7122,0.6956,1.660000000000006,0.7218,0.7188,0.30000000000000027,0.1757365798950195,0.18541070938110354
70000,0.7026,0.6948,0.7800000000000029,0.7188,0.719,-0.019999999999997797,0.17460500717163085,0.1844595718383789
72000,0.7056,0.6958,0.9800000000000031,0.7218,0.7188,0.30000000000000027,0.17451049804687502,0.1839150047302246
74000,0.7074,0.693,1.440000000000008,0.7234,0.7178,0.5600000000000049,0.17346683502197263,0.18312227249145507
76000,0.7046,0.698,0.660000000000005,0.7188,0.7154,0.33999999999999586,0.17298187255859376,0.18222255706787108
78000,0.7004,0.6892,1.1199999999999988,0.724,0.7156,0.8399999999999963,0.17275236129760743,0.18239160537719729
80000,0.71,0.6968,1.319999999999999,0.7242,0.72,0.41999999999999815,0.171546573638916,0.1813701629638672
82000,0.7078,0.6882,1.959999999999995,0.7218,0.7148,0.7000000000000006,0.1713982009887695,0.18167268753051757
84000,0.702,0.6906,1.1399999999999966,0.7222,0.7162,0.6000000000000005,0.17001752853393556,0.18031442642211915
86000,0.705,0.6874,1.759999999999995,0.7248,0.7162,0.8600000000000052,0.17032472610473634,0.17980886459350587
88000,0.703,0.6952,0.7799999999999918,0.7204,0.7234,-0.30000000000000027,0.1693863868713379,0.17903337478637693
90000,0.7056,0.6932,1.2399999999999967,0.7206,0.7194,0.11999999999999789,0.16949655532836916,0.17894975662231444
92000,0.7038,0.6938,1.0000000000000009,0.7236,0.718,0.5600000000000049,0.1692299461364746,0.17915489196777346
94000,0.6998,0.7022,-0.24000000000000687,0.7238,0.7218,0.20000000000000018,0.16816307067871095,0.17800601959228515
96000,0.6986,0.6978,0.08000000000000229,0.7254,0.7192,0.6200000000000094,0.16847463607788088,0.1778498649597168
98000,0.7038,0.6982,0.5599999999999938,0.7204,0.72,0.0400000000000067,0.1676344871520996,0.17725616455078125
100000,0.6978,0.694,0.38000000000000256,0.719,0.7168,0.21999999999999797,0.16727848052978514,0.17761989593505859
102000,0.703,0.6998,0.31999999999999806,0.7212,0.7188,0.23999999999999577,0.16704006195068358,0.176788330078125
104000,0.7054,0.695,1.0400000000000076,0.7212,0.7214,-0.0200000000000089,0.16675695419311523,0.17677984237670896
106000,0.7024,0.6944,0.8000000000000007,0.7222,0.7188,0.33999999999999586,0.1666329002380371,0.17636814117431643
