run,variant,architecture,dataset,strategy,seed,data_split_seed,topology_seed,candidate_pool_size,long_range_fraction,gamma,hard_accuracy,soft_accuracy,soft_hard_gap,selection_step,evaluation_count,test_hard_accuracy,test_soft_accuracy,test_soft_hard_gap,gate_count,trainable_gate_logits,deployed_gate_function_bits,final_input_coverage,final_mean_gate_ancestry,final_overlap_mean,final_fanout_cv,final_fanout_max,final_unused_outputs,first_same_source_pair_fraction,first_same_threshold_pair_fraction,first_same_channel_pair_fraction,first_spatial_manhattan_p50,final_mean_source_ancestry,final_source_cross_gate_jaccard,final_source_group_coverage_min,final_source_group_usage_cv_mean,distinct_pairs,deployed_index_bits,deployed_total_circuit_bits,indices_tensor_bytes,topology_construction_seconds,topology_peak_temporary_bytes,training_wall_seconds,peak_gpu_memory_bytes,inference_milliseconds_per_batch,inference_examples_per_second,source_revision,recorded_source_tree_sha256,python,torch,cuda_build
paper_fashion_mnist_small_random_seed0,v1,DlgnFashionMnistPaperSmall,fashion-mnist,random,0,2027,0,64,0.25,0.25,0.8766666481892268,0.8799999803304672,0.0033333321412404304,52000,54,0.8657999819517136,0.8670999771356582,0.0012999951839446355,48000,768000,192000,1.0,63.147125,0.430625,0.0,2,0,0.001,0.334625,1.0,18.0,61.506625,0.041283053389636455,1.0,0.12821147409706798,7999,1232000,1424000,768000,0.026669216342270374,16128000,910.5974596915767,106689536,1.135120620727539,88096.36453957329,c1102f9953dedb331f24925e49262550ed12485c,215343b78b0045c7dde47d4a535078bcb0e0ee90867c3a092fb9991b689c7bc0,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_random_seed1,v1,DlgnFashionMnistPaperSmall,fashion-mnist,random,1,2027,1,64,0.25,0.25,0.8746666451295216,0.8739999810854594,-0.0006666640440622373,106000,54,0.8621999830007553,0.8663999789953232,0.004199995994567884,48000,768000,192000,1.0,63.181125,0.417125,0.0,2,0,0.000875,0.3385,1.0,18.0,61.540375,0.04117660430384077,1.0,0.12957120348787388,8000,1232000,1424000,768000,0.034680699463933706,16128000,913.9965823320672,106689536,1.1361449432373047,88016.93885558506,c1102f9953dedb331f24925e49262550ed12485c,956d69b4019586e710f95308062f7b04561651a3286a28fac5f841017e56dbd6,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_random_seed2,v1,DlgnFashionMnistPaperSmall,fashion-mnist,random,2,2027,2,64,0.25,0.25,0.8739999810854594,0.8733333120743434,-0.0006666690111160056,102000,54,0.8610999822616577,0.8665999805927277,0.005499998331069955,48000,768000,192000,1.0,63.149625,0.430125,0.0,2,0,0.001,0.326125,1.0,18.0,61.47975,0.04117577261122057,1.0,0.12780442235234551,8000,1232000,1424000,768000,0.027756309136748314,16128000,905.4870912218466,106689536,1.134424285888672,88150.44004603902,c1102f9953dedb331f24925e49262550ed12485c,95b695c79fba0dc472d4f60128e6304eeaba5a3d0ece5592dccf9c3be3c53c9a,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_random_seed3,v1,DlgnFashionMnistPaperSmall,fashion-mnist,random,3,2027,3,64,0.25,0.25,0.8721666435400645,0.8729999780654907,0.0008333345254262214,90000,54,0.8640999776124955,0.867299981713295,0.0032000041007995694,48000,768000,192000,1.0,63.165,0.42425,0.0,2,0,0.00125,0.334625,1.0,18.0,61.51625,0.041496906708689184,1.0,0.12732578652074394,7999,1232000,1424000,768000,0.027621176093816757,16128000,892.2888188022189,106689536,1.1387010955810546,87819.35873081087,c1102f9953dedb331f24925e49262550ed12485c,dd1ab4457e0d11ba5fee21435e446107852b2b4b24308e2d60fb7fb74ae4ceb5,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_random_seed4,v1,DlgnFashionMnistPaperSmall,fashion-mnist,random,4,2027,4,64,0.25,0.25,0.8763333121935527,0.8768333127101262,0.0005000005165735066,52000,54,0.862199981212616,0.8673999786376954,0.005199997425079372,48000,768000,192000,1.0,63.179,0.42025,0.0,2,0,0.001125,0.325875,1.0,18.0,61.51075,0.04152676858680787,1.0,0.1288397739376038,8000,1232000,1424000,768000,0.027631204575300217,16128000,896.6379710962065,106689536,1.137743682861328,87893.25883006315,c1102f9953dedb331f24925e49262550ed12485c,dd1ab4457e0d11ba5fee21435e446107852b2b4b24308e2d60fb7fb74ae4ceb5,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_semantic_balanced_v3_seed0,v3,DlgnFashionMnistPaperSmall,fashion-mnist,semantic_balanced_hybrid,0,2027,0,8,0.25,0.25,0.8824999809265137,0.8824999789396922,-1.986821485111534e-09,54000,54,0.8736999779939651,0.8750999772548675,0.001399999260902396,48000,768000,192000,1.0,63.422125,0.321125,0.0,2,0,0.0,0.909,1.0,4.0,62.065,0.04007729427874905,1.0,0.10464604746080523,8000,1232000,1424000,768000,5.062247052788734,1792000,898.5416004452854,106689536,1.1385174560546876,87833.52373579823,c1102f9953dedb331f24925e49262550ed12485c,87f548a0e4a7b0d9798f668358eb1699efae29a7e945d358fbed10722327bd45,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_semantic_balanced_v3_seed1,v3,DlgnFashionMnistPaperSmall,fashion-mnist,semantic_balanced_hybrid,1,2027,1,8,0.25,0.25,0.8788333177566529,0.8826666474342346,0.003833329677581765,24000,54,0.8672999775409699,0.8756999784708023,0.008400000929832396,48000,768000,192000,1.0,63.429875,0.318875,0.0,2,0,0.0,0.909,1.0,4.0,62.04725,0.042178173028881875,1.0,0.11659733860846226,8000,1232000,1424000,768000,5.071048257872462,1792000,894.3198614749126,106689536,1.1261888122558594,88795.05719799404,c1102f9953dedb331f24925e49262550ed12485c,87f548a0e4a7b0d9798f668358eb1699efae29a7e945d358fbed10722327bd45,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_semantic_balanced_v3_seed2,v3,DlgnFashionMnistPaperSmall,fashion-mnist,semantic_balanced_hybrid,2,2027,2,8,0.25,0.25,0.8831666479508082,0.8841666469971339,0.0009999990463256392,96000,54,0.8742999768257141,0.874899982213974,0.0006000053882598833,48000,768000,192000,1.0,63.457,0.30175,0.0,2,0,0.0,0.909,1.0,4.0,62.115125,0.039636590765830385,1.0,0.12686504379936936,8000,1232000,1424000,768000,5.0349189369007945,1792000,864.7410204601474,106689536,1.1338412475585937,88195.76833645953,c1102f9953dedb331f24925e49262550ed12485c,87f548a0e4a7b0d9798f668358eb1699efae29a7e945d358fbed10722327bd45,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_semantic_balanced_v3_seed3,v3,DlgnFashionMnistPaperSmall,fashion-mnist,semantic_balanced_hybrid,3,2027,3,8,0.25,0.25,0.883999980489413,0.8814999808867773,-0.002499999602635694,80000,54,0.870999984741211,0.8751999819278717,0.004199997186660753,48000,768000,192000,1.0,63.463,0.29,0.0,2,0,0.0,0.909,1.0,4.0,62.034625,0.04124496663632641,1.0,0.13595279777295516,8000,1232000,1424000,768000,5.04679822223261,1792000,898.275500738062,106689536,1.1426009368896484,87519.62016783986,c1102f9953dedb331f24925e49262550ed12485c,dd1ab4457e0d11ba5fee21435e446107852b2b4b24308e2d60fb7fb74ae4ceb5,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_semantic_balanced_v3_seed4,v3,DlgnFashionMnistPaperSmall,fashion-mnist,semantic_balanced_hybrid,4,2027,4,8,0.25,0.25,0.879833314816157,0.8823333124319712,0.002499997615814209,96000,54,0.8715999805927277,0.8726999825239181,0.0011000019311904197,48000,768000,192000,1.0,63.444,0.292,0.0,2,0,0.0,0.909,1.0,4.0,61.961125,0.04153811711283293,1.0,0.11134404013660175,8000,1232000,1424000,768000,5.039146869443357,1792000,899.7585224490613,106689536,1.1385990142822267,87827.23219116789,c1102f9953dedb331f24925e49262550ed12485c,dd1ab4457e0d11ba5fee21435e446107852b2b4b24308e2d60fb7fb74ae4ceb5,3.12.13,2.9.0+cu130,13.0
